Month_Number,Month,Total Observations,Dewlap Displays,No Dewlap Display,Percent Display,,Expected Dewlap Display,Expected No Dewlap Display
1,January,246,9,237,3.66%,,12.09445386,233.9055461
2,February,325,8,317,2.46%,,15.97844514,309.0215549
3,March,536,33,503,6.16%,,26.35214338,509.6478566
4,April,616,41,575,6.66%,,30.2852991,585.7147009
5,May,372,21,351,5.65%,,18.28917413,353.7108259
6,June,312,37,275,11.86%,,15.33930734,296.6606927
7,July,299,23,276,7.69%,,14.70016953,284.2998305
8,August,372,20,352,5.38%,,18.28917413,353.7108259
9,September,279,4,275,1.43%,,13.7168806,265.2831194
10,October,314,2,312,0.64%,,15.43763623,298.5623638
11,November,234,0,234,0.00%,,11.5044805,222.4955195
12,December,224,5,219,2.23%,,11.01283604,212.987164
,,,,,,,,
,,,,,,,,
,,,,,,,Chi-square p-value,3.02017E-13
,,,,,,,Chi-square statistic,83.55388552
,,,,,,,Degrees of freedom,11
