id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:dewlap
1845,1a9f4b1f-3d9a-43e5-93c6-3e5e7d042d16,2009-03-07,2009-03-07,,Eastern Time (US & Canada),169,flapack,"",2009-03-12 02:35:53 +0000,2025-05-01 15:16:15 +0000,research,CC-BY-NC,http://www.inaturalist.org/observations/1845,https://inaturalist-open-data.s3.amazonaws.com/photos/2261/medium.jpg,,"","",5,0,false,,"Long Key Natural Area, FL",26.0758743286,-80.3234939575,,,,,,,open,false,,,Brown Anole,Anolis sagrei,Brown Anole,Reptilia,116461,
39104,45213d17-9c2e-4b7f-a59f-ea592a503f65,2011-11-14,2011-11-14,,Central Time (US & Canada),347,wingedwolfpsion,Donna Fernstrom,2011-11-14 22:08:43 +0000,2019-08-05 11:53:18 +0000,research,CC0,http://www.inaturalist.org/observations/39104,https://inaturalist-open-data.s3.amazonaws.com/photos/65075/medium.jpg,,"","I have been somewhat disappointed to see that brown anoles are ubiquitous in this region of Florida, but I have not seen a single green anole.  It's sad to realize that this invasive species has apparently successfully replaced the native species in this region.",3,0,false,,anne kolb nature center,26.0382063892,-80.1187849045,,,,,,,open,false,,,Brown Anole,Anolis sagrei,Brown Anole,Reptilia,116461,
39556,7a5f1b2b-d721-4eed-8c66-bab20a4a04f9,2011-11-19,2011-11-19,,Central Time (US & Canada),347,wingedwolfpsion,Donna Fernstrom,2011-11-19 17:36:57 +0000,2019-05-30 13:30:44 +0000,research,CC0,http://www.inaturalist.org/observations/39556,https://inaturalist-open-data.s3.amazonaws.com/photos/65793/medium.jpg,,"","Appears to have replaced the native species, as I have not seen a single green anole in Ft Lauderdale.",4,0,false,,"ft lauderdale, fl",26.1611081038,-80.1032924652,,,,,,,open,false,,,Brown Anole,Anolis sagrei,Brown Anole,Reptilia,116461,
544546,13f7a6b7-1453-445f-b558-0597d70d875b,2014-02-25,2014-02-25,,Eastern Time (US & Canada),25237,bryanjbd,Julia and Bryan @ XplorMor International Nonprofit,2014-02-26 15:31:34 +0000,2024-10-14 00:47:03 +0000,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/544546,https://inaturalist-open-data.s3.amazonaws.com/photos/693338/medium.jpg,,"Nature, Wildlife, Anole, lizard, Florida, xplormor","Anole, Coral Springs, FL.",5,0,false,,"Coral Springs, FL",26.271192,-80.270604,8161,,,,8161,,open,false,,,Brown Anole,Anolis sagrei,Brown Anole,Reptilia,116461,
545905,e72fbab2-5869-4c20-9e95-530af476d04b,2014-02-27,2014-02-27,,Eastern Time (US & Canada),25237,bryanjbd,Julia and Bryan @ XplorMor International Nonprofit,2014-02-27 18:56:29 +0000,2019-04-24 16:28:08 +0000,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/545905,https://inaturalist-open-data.s3.amazonaws.com/photos/697042/medium.JPG,,"Nature, Wildlife, Anole, lizard, Florida, xplormor",Anole battling.,4,0,false,,"Coral Springs, FL",26.271192,-80.270604,8161,,,,8161,,open,false,,,Brown Anole,Anolis sagrei,Brown Anole,Reptilia,116461,
1207967,5ad70430-8333-4b91-aecb-520b1e06daaf,2015-01-19,2015-01-19,,Pacific Time (US & Canada),11882,screws,"",2015-02-02 16:59:53 +0000,2019-03-16 11:56:18 +0000,research,,http://www.inaturalist.org/observations/1207967,https://static.inaturalist.org/photos/1525870/medium.jpg,,"","",3,0,false,,Hugh Taylor Birch State Park,26.145519,-80.104711,885,,,,885,,open,false,,google,Brown Anole,Anolis sagrei,Brown Anole,Reptilia,116461,
1207970,17e831f3-b327-484b-afa7-18f510a6a0de,2015-01-19,2015-01-19,,Pacific Time (US & Canada),11882,screws,"",2015-02-02 17:00:02 +0000,2019-03-16 11:56:13 +0000,research,,http://www.inaturalist.org/observations/1207970,https://static.inaturalist.org/photos/1525874/medium.jpg,,"","",3,0,false,,Hugh Taylor Birch State Park,26.145519,-80.104711,885,,,,885,,open,false,,google,Brown Anole,Anolis sagrei,Brown Anole,Reptilia,116461,
1285875,7738f8ba-e3ef-4cfa-9bef-400c1dfa6f58,2015-03-09,2015-03-09,,Pacific Time (US & Canada),20292,nicetim,Tim Giller,2015-03-11 02:16:50 +0000,2019-03-13 12:13:11 +0000,research,CC-BY-NC,http://www.inaturalist.org/observations/1285875,https://inaturalist-open-data.s3.amazonaws.com/photos/1612697/medium.jpg,,"",,3,0,false,,"Aligator Alley Rest Stop, FL",26.147294,-80.631076,31,,,,31,,open,false,,,Brown Anole,Anolis sagrei,Brown Anole,Reptilia,116461,
1304417,b315866b-3664-410a-880e-590a6a4e1f5f,2015-01-27,2015-01-27,,Mexico City,28688,valkyrjan,Valeria Cuellar,2015-03-19 23:09:37 +0000,2019-03-09 13:38:05 +0000,research,CC-BY-NC,http://conabio.inaturalist.org/observations/1304417,https://inaturalist-open-data.s3.amazonaws.com/photos/1637140/medium.jpg,,"reptilia, reptil, fort lauderdale, nature","",3,0,false,,Fort Lauderdale,26.110416,-80.105646,,,,,,,open,false,,,Brown Anole,Anolis sagrei,Brown Anole,Reptilia,116461,
1703438,ef6aacc4-321e-4f56-bbfb-e244235b152e,2015-06-28 5:45:09 PM EDT,2015-06-28,2015-06-28 21:45:09 +0000,Eastern Time (US & Canada),18446,royaltyler,Royal Tyler,2015-06-28 21:45:13 +0000,2017-12-04 14:39:12 +0000,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/1703438,https://inaturalist-open-data.s3.amazonaws.com/photos/2063378/medium.JPG,,"",Brown anole of some kind,2,0,false,2,"Broward County, US-FL, US",26.04925392,-80.16130225,14,,,,14,,open,false,gps,gps,Brown Anole,Anolis sagrei,Brown Anole,Reptilia,116461,
