Key,Author,Title,Journal,Publication Year,Language,Paper Topic,Relevant?,Observation design and data generation,Annotation and metadata development,Data access and filtering,Question formulation,Analysis and interpretation,Critical evaluation of limitations,None,Other
24AAQBCS,"Hernawati, D; Chaidir, DM; Meylani, V",The use of iNaturalist on learning courses of zoology vertebrates for prospective biology teachers,Journal of Physics: Conference Series,2020,english,Education/Community Engagement,Yes,Yes,Yes,No,No,No,No,No,No
2UNCBJSU,"Schmidt, Marco; Ass?d?, Em?line S?ssi P?lagie; Oebel, Horst; Fahr, Jakob; Sinsin, Brice",Biota of the WAP complex?starting a citizen science project for West Africa?s largest complex of protected areas,Flora et Vegetatio Sudano-Sambesica,2016,english,Education/Community Engagement,No,,,,,,,,
38V8YI28,"Basile, Marco; Russo, Luca Francesco; Russo, Valerio Giovanni; Senese, Andrea; Bernardo, Nicola",Birds seen and not seen during the COVID-19 pandemic: The impact of lockdown measures on citizen science bird observations,Biological Conservation,2021,english,Education/Community Engagement,No,,,,,,,,
45YT6D96,"Zabbey, Nenibarini; Kpaniku, NC; Sam, Kabari; Nwipie, Goodluck Nakaima; Okoro, OE; Zabbey, FG; Babatunde, Bolaji Benard",Could community science drive environmental management in Nigeria's degrading coastal Niger delta? Prospects and challenges,Environmental Development,2021,english,Education/Community Engagement,No,,,,,,,,
47WG25Z2,"Durso, Andr?w Micha?l; Bolon, Isabelle; Kleinhesselink, Andrew R; Mondardini, Maria R; Fernandez-Marquez, Jose L; Gutsche-Jones, Fanny; Gwilliams, Chris; Tanner, M; Smith, Christopher E; WÅster, Wolfgang; others",Crowdsourcing snake identification with online communities of professional herpetologists and avocational snake enthusiasts,Royal Society open science,2021,english,"Other, Education/Community Engagement",No,,,,,,,,
49ZEBHV8,"Drury, Jonathan P; Barnes, Morgan; Finneran, Ann E; Harris, Maddie; Grether, Gregory F",Continent-scale phenotype mapping using citizen scientists? photographs,Ecography,2019,english,"Species Distribution/Range, Biology/Behavior, Education/Community Engagement",No,,,,,,,,
4G8QX35L,"Unger, Shem",Power of a Snapshot Observation: Using iNaturalist To Teach Undergraduates about Ethograms in Animal Behavior,Journal of Microbiology & Biology Education,2023,english,"Biology/Behavior, Education/Community Engagement",Yes,No,Yes,Yes,No,Yes,Yes,No,No
4IDVVSSL,"Aristeidou, Maria; Herodotou, Christothea; Ballard, Heidi L; Higgins, Lila; Johnson, Rebecca F; Miller, Annie E; Young, Alison N; Robinson, Lucy D",How do young community and citizen science volunteers support scientific research on biodiversity? The case of inaturalist,Diversity,2021,english,Education/Community Engagement,No,,,,,,,,
4RC9VA22,"Encarna??o, Jo?o; Teodõsio, Maria Alexandra; Morais, Pedro",Citizen science and biological invasions: a review,Frontiers in Environmental Science,2021,english,Education/Community Engagement,No,,,,,,,,
4Y2G9V75,"Romero, Emilia Pe?aherrera; Espinoza, Sandra; De la Torre, Daniela; Espinoza, Daniela; Cisneros-Heredia, Diego F",Integrando la ciencia ciudadana y la educaciõn para fomentar los v≠nculos entre las personas y la naturaleza en ˇreas urbanas,Esferas,2022,spanish,Education/Community Engagement,Yes,Yes,Yes,No,No,No,No,No,No
