id,observed_on,year,scientific_name,common_name,quality_grade,latitude,longitude,place_guess,url
3842901,2016-08-06,2016,Lycorma delicatula,Spotted Lanternfly,research,40.3806099489,-75.7191453874,"1-99 Sheep Hill Road Oley, PA 19547",http://www.inaturalist.org/observations/3842901
4066989,2016-09-08,2016,Lycorma delicatula,Spotted Lanternfly,research,40.592449,-75.521499,"Lehigh County, US-PA, US",http://www.inaturalist.org/observations/4066989
4286849,2016-10-06,2016,Lycorma delicatula,Spotted Lanternfly,research,40.3725475373,-75.622015558,"1045 Pennsylvania 100 Bechtelsville, PA 19505",http://www.inaturalist.org/observations/4286849
5512985,2016-10-02,2016,Lycorma delicatula,Spotted Lanternfly,research,40.476928586,-75.6249941067,"101 Doe Mountain Ln, Longswamp, PA, US",https://www.inaturalist.org/observations/5512985
6564552,2017-06-09,2017,Lycorma delicatula,Spotted Lanternfly,research,40.41182,-75.6600333333,"118–248 Landis Store Rd, District, PA, US",https://www.inaturalist.org/observations/6564552
6782333,2017-06-24,2017,Lycorma delicatula,Spotted Lanternfly,research,40.3105166667,-75.725005,"201 Serenity Dr, Amity, PA, US",https://www.inaturalist.org/observations/6782333
6835895,2017-06-25,2017,Lycorma delicatula,Spotted Lanternfly,research,40.59087,-75.5279,"451 Springhouse Rd, Allentown, PA, US",https://www.inaturalist.org/observations/6835895
6966022,2017-07-08,2017,Lycorma delicatula,Spotted Lanternfly,research,40.3104283333,-75.7245033333,"201 Serenity Dr, Amity, PA, US",https://www.inaturalist.org/observations/6966022
6981619,2017-07-08,2017,Lycorma delicatula,Spotted Lanternfly,research,40.5019491281,-75.701107867,"Pennsylvania, US",https://www.inaturalist.org/observations/6981619
7115865,2017-07-19,2017,Lycorma delicatula,Spotted Lanternfly,research,40.5133373589,-75.3910644363,"124 N Main St, Coopersburg, PA, US",https://www.inaturalist.org/observations/7115865
7261516,2017-07-29,2017,Lycorma delicatula,Spotted Lanternfly,research,40.5413170868,-75.3561570256,"Pennsylvania, US",https://www.inaturalist.org/observations/7261516
7361709,2017-08-05,2017,Lycorma delicatula,Spotted Lanternfly,research,40.28412129,-75.64716388,"1602 Applegate Lane Pottstown, PA 19464 USA",https://www.inaturalist.org/observations/7361709
7451375,2017-08-11,2017,Lycorma delicatula,Spotted Lanternfly,research,40.2340360846,-75.6847368592,"747 Catfish Ln, North Coventry, PA, US",https://www.inaturalist.org/observations/7451375
7461196,2017-08-02,2017,Lycorma delicatula,Spotted Lanternfly,research,40.43653,-75.5857866667,"20 Heyser Rd, Hereford, PA, US",https://www.inaturalist.org/observations/7461196
7524277,2017-08-16,2017,Lycorma delicatula,Spotted Lanternfly,research,40.2855052399,-75.4532110586,"1237 Clemmers Mill Rd, Upper Salford, PA, US",https://www.inaturalist.org/observations/7524277
7631883,2017-08-24,2017,Lycorma delicatula,Spotted Lanternfly,research,40.9280448814,-75.5298377822,"191 Hobby Acres Rd, Polk, PA, US",https://www.inaturalist.org/observations/7631883
7648531,2017-08-25,2017,Lycorma delicatula,Spotted Lanternfly,research,40.4462595127,-75.2829671004,"Pennsylvania, US",https://www.inaturalist.org/observations/7648531
7699574,2017-08-27,2017,Lycorma delicatula,Spotted Lanternfly,research,40.3632999771,-75.9098408093,"Albright College, Reading, PA, US",https://www.inaturalist.org/observations/7699574
7796861,2017-09-05,2017,Lycorma delicatula,Spotted Lanternfly,research,40.2972116667,-75.35337,"625 Lower Rd, Franconia, PA, US",https://www.inaturalist.org/observations/7796861
7863812,2017-09-10,2017,Lycorma delicatula,Spotted Lanternfly,research,40.5345460726,-75.5890019239,"7105 Tuscany Dr, Lower Macungie, PA, US",https://www.inaturalist.org/observations/7863812
7864576,2017-09-10,2017,Lycorma delicatula,Spotted Lanternfly,research,40.534610739,-75.58894719,"2373 Silvano Dr, Lower Macungie, PA, US",https://www.inaturalist.org/observations/7864576
7876189,2017-09-08,2017,Lycorma delicatula,Spotted Lanternfly,research,40.334152,-75.63772,"Boyertown, Pennsylvania, United States",https://www.inaturalist.org/observations/7876189
7996321,2017-09-19,2017,Lycorma delicatula,Spotted Lanternfly,research,40.34545603,-75.97051655,"1055 Woodland Rd, Wyomissing, PA 19610, USA",https://www.inaturalist.org/observations/7996321
8024655,2017-09-21,2017,Lycorma delicatula,Spotted Lanternfly,research,40.2761466667,-75.735305,"282–398 Applewood Dr, Amity, PA, US",https://www.inaturalist.org/observations/8024655
8147493,2017-09-27,2017,Lycorma delicatula,Spotted Lanternfly,research,40.3622963638,-75.312459133,"328 N Main St, Sellersville, PA 18960, USA",https://www.inaturalist.org/observations/8147493
8313069,2017-10-08,2017,Lycorma delicatula,Spotted Lanternfly,research,40.4821166667,-75.5158533333,"5241 Stansfield Dr, Upper Milford, PA, US",https://www.inaturalist.org/observations/8313069
8341714,2017-10-10,2017,Lycorma delicatula,Spotted Lanternfly,research,40.4818971176,-75.5156049506,"5241 Stansfield Dr, Upper Milford, PA, US",https://www.inaturalist.org/observations/8341714
8341897,2017-10-10,2017,Lycorma delicatula,Spotted Lanternfly,research,40.4819782125,-75.5159102195,"5241 Stansfield Dr, Upper Milford, PA, US",https://www.inaturalist.org/observations/8341897
8415175,2017-10-14,2017,Lycorma delicatula,Spotted Lanternfly,research,40.5317283333,-75.6376116667,"1434 Windmill Ln, Upper Macungie, PA, US",https://www.inaturalist.org/observations/8415175
8430192,2017-10-16,2017,Lycorma delicatula,Spotted Lanternfly,research,40.2851488896,-75.6177158513,"Pottstown, PA  19464, Upper Pottsgrove, PA, US",https://www.inaturalist.org/observations/8430192
8440754,2017-10-17,2017,Lycorma delicatula,Spotted Lanternfly,research,40.2840442211,-75.8409358655,"10 Vanguard Dr, Exeter, PA, US",https://www.inaturalist.org/observations/8440754
8464192,2017-10-17,2017,Lycorma delicatula,Spotted Lanternfly,research,40.2128920523,-75.6785323665,"1493 Glenmar Dr, North Coventry, PA, US",https://www.inaturalist.org/observations/8464192
