grid_id,first_year_observed
70,2021
242,2025
243,2025
309,2025
313,2025
314,2025
323,2023
330,2022
331,2025
337,2023
340,2025
341,2025
355,2023
356,2024
360,2025
363,2020
366,2023
380,2025
392,2022
394,2024
395,2023
414,2024
416,2025
417,2024
418,2024
419,2025
421,2025
443,2024
444,2024
445,2024
446,2025
471,2024
472,2022
473,2022
474,2022
475,2024
476,2025
480,2021
489,2025
491,2024
499,2025
500,2024
501,2021
502,2022
503,2025
504,2021
505,2022
506,2023
516,2025
517,2025
518,2023
524,2025
527,2025
528,2022
529,2021
530,2024
531,2021
533,2025
544,2025
546,2022
547,2025
550,2025
551,2024
555,2025
556,2022
557,2021
558,2023
559,2024
560,2024
576,2024
580,2025
581,2024
583,2024
584,2025
585,2025
586,2023
587,2022
588,2021
589,2021
590,2022
591,2025
592,2024
593,2023
599,2024
603,2025
607,2023
608,2024
609,2022
610,2025
613,2025
614,2020
615,2023
616,2022
617,2018
618,2022
619,2020
620,2022
621,2022
622,2019
623,2021
631,2024
633,2025
636,2023
637,2024
638,2025
639,2024
640,2025
641,2023
642,2023
643,2023
644,2022
645,2022
646,2021
647,2020
648,2021
649,2020
650,2020
651,2021
652,2018
662,2022
663,2024
666,2025
667,2025
669,2025
670,2022
671,2018
672,2020
673,2021
674,2023
675,2022
676,2018
677,2019
678,2018
679,2018
680,2019
681,2019
686,2023
687,2023
689,2025
693,2024
694,2025
695,2025
696,2022
697,2023
698,2023
699,2021
700,2023
701,2024
702,2021
703,2021
704,2021
705,2017
706,2017
707,2015
708,2018
709,2020
714,2025
715,2023
716,2025
717,2025
719,2023
721,2024
722,2022
723,2024
724,2023
725,2022
726,2023
727,2022
728,2023
729,2025
730,2023
731,2024
732,2018
733,2023
734,2020
735,2018
736,2016
737,2018
738,2019
739,2021
751,2025
752,2020
753,2023
754,2025
755,2025
757,2025
758,2025
760,2020
761,2022
762,2019
763,2017
764,2019
765,2019
766,2019
767,2020
771,2024
780,2022
781,2024
784,2022
786,2022
790,2025
791,2021
792,2021
793,2019
794,2021
795,2021
796,2022
797,2024
802,2023
814,2025
818,2024
819,2022
820,2025
821,2022
822,2020
823,2022
824,2022
825,2022
826,2023
827,2025
829,2023
845,2022
846,2025
848,2025
849,2020
850,2023
852,2025
853,2022
854,2023
855,2024
856,2022
857,2024
858,2023
859,2025
879,2025
881,2024
882,2023
885,2024
886,2024
887,2025
888,2024
889,2020
890,2020
891,2023
909,2025
912,2024
913,2022
916,2025
917,2023
918,2021
939,2021
940,2022
942,2021
944,2022
968,2021
969,2024
