year,n_observations,occupied_grid_cells,occupied_states,hull_area_km2,hull_area_1000_km2
2015,2,1,1,0,0
2016,6,2,1,298.84825558055616,0.29884825558055617
2017,62,5,1,4413.800718251609,4.4138007182516095
2018,374,14,4,71059.89270734697,71.05989270734696
2019,1441,21,6,57051.59957397399,57.05159957397399
2020,3794,39,10,433149.377439552,433.149377439552
2021,6347,61,13,704294.6051546433,704.29460515464325
2022,9242,100,17,767158.3003424818,767.1583003424818
2023,12444,129,19,1196042.5733687412,1196.0425733687412
2024,14656,161,20,1016604.1251075938,1016.6041251075939
2025,26079,221,21,1033691.7164685029,1033.6917164685028
